annotator	filename	mark	label	offset	span
Samuel	9299101	T1	MTP	drømmer	57 64
Samuel	9299101	T2	MTP	feltet	123 129
Samuel	9299101	T3	MTP	rammer	136 142
Samuel	9299101	T4	MTP	drømmen	177 184
Samuel	9299101	T5	MTP	knæk	193 197
Samuel	9299101	T6	MTP	bud	222 225
Samuel	9299101	T7	MTP	rammer	294 300
Samuel	9299101	T8	MTP	venter	324 330
Samuel	9299101	T9	MTP	ren	415 418
Samuel	9299101	T10	MTP	guf	419 422
Samuel	9299101	T11	MTP	rytter	430 436
Samuel	9299101	T12	MTP	sætter	489 495
Samuel	9299101	T13	MTP	alle	496 500
Samuel	9299101	T14	MTP	sejl	501 505
Samuel	9299101	T15	MTP	ind	506 509
Samuel	9299101	T16	MTP	brølstærke	567 577
Samuel	9299101	T17	MTP	rytter	589 595
Samuel	9299101	T18	MTP	udgå	684 688
Samuel	9299101	T19	MTP	knæk	759 763
Samuel	9299101	T20	MTP	drøm	746 750
Samuel	9299101	T21	HPB	samtidig	1079 1087
Samuel	9299101	T22	MTP	fået	1246 1250
Samuel	9299101	T23	MTP	sige	1417 1421
Samuel	9299101	T24	MTP	farvel	1422 1428
Samuel	9299101	T25	MTP	til	1429 1432
Samuel	9299101	T26	MTP	måtte	1411 1416
Samuel	9299101	T27	MTP	tog	1579 1582
Samuel	9299101	T28	MTP	sig	1583 1586
Samuel	9299101	T29	MTP	af	1587 1589
Samuel	9299101	T30	MTP	kommer	1625 1631
Samuel	9299101	T31	MTP	mig	1632 1635
Samuel	9299101	T32	MTP	har	1699 1702
Samuel	9299101	T33	MTP	til	1733 1736
Samuel	9299101	T34	MTP	gode	1737 1741
Samuel	9299101	T35	MTP	ryttere	1877 1884
Samuel	9299101	T36	MTP	på	1890 1892
Samuel	9299101	T37	MTP	spring	1893 1899
Samuel	9299101	T38	MTP	bud	1942 1945
Samuel	9213363	T1	MTP	grænseoverskridende	41 60
Samuel	9213363	T3	MTP	følgere	281 288
Samuel	9213363	T4	MTP	følgere	357 364
Samuel	9213363	T5	MTP	omløb	423 428
Samuel	9213363	T6	HPB	tvunget	444 451
Samuel	9213363	T7	MTP	profiler	506 514
Samuel	9213363	T8	MTP	grænseoverskridende	738 757
Samuel	9213363	T9	MTP	profil	768 774
Samuel	9213363	T10	MTP	profiler	1025 1033
Samuel	9213363	T11	MTP	profiler	98 106
Samuel	9213363	T12	MTP	profiler	1146 1154
Samuel	9213363	T13	MTP	får	1156 1159
Samuel	9213363	T14	MTP	omfanget	1193 1201
Samuel	9213363	T15	MTP	større	1220 1226
Samuel	9213363	T16	WIDLII	opslaget	1433 1441
Samuel	9213363	T17	MTP	profiler	1474 1482
Samuel	9213363	T18	MTP	følgere	1548 1555
Samuel	9213363	T19	MTP	profilen	1560 1568
Samuel	9213363	T20	MTP	langt	1609 1614
Samuel	9213363	T21	MTP	følgere	1733 1740
Samuel	9213363	T22	MTP	profilerne	1788 1798
Samuel	9213363	T23	MTP	profil	6 12
Samuel	9213363	T24	MTP	profiler	397 405
Samuel	9453941	T1	MTP	udpeget	140 147
Samuel	9453941	T2	WIDLII	foregå	202 208
Samuel	9453941	T3	WIDLII	opførelse	256 265
Samuel	9453941	T4	MTP	bud	349 352
Samuel	9453941	T5	MTP	legene	469 475
Samuel	9453941	T6	MTP	legeplads	546 555
Samuel	9453941	T7	MTP	lyder	573 578
Samuel	9453941	T8	MTP	strække	648 655
Samuel	9453941	T9	MTP	stå	878 881
Samuel	9453941	T10	MTP	svarende	994 1002
Samuel	9453941	T11	MTP	til	1003 1006
Samuel	9453941	T12	MTP	Idéen	1038 1043
Samuel	9453941	T13	MTP	bedrive	1224 1231
