,annotator_ann1,filename,mark_ann1,label_ann1,offset,span,annotator_ann2,mark_ann2,label_ann2
0,ann1,t10_9417278,T12,HPB,altid,1155 1160,,,
1,,t10_9417278,,,angrebet,1755 1763,ann2,T18,MTP
2,ann1,t10_9417278,T1,MTP,angrebsstjerne,142 156,ann2,T3,MTP
3,,t10_9417278,,,banen,1321 1326,ann2,T13,WIDLII
4,ann1,t10_9417278,T4,MTP,betyder,396 403,ann2,T6,MTP
5,ann1,t10_9417278,T3,WIDLII,hjemme,299 305,ann2,T4,WIDLII
6,,t10_9417278,,,kamp,1123 1127,ann2,T9,MTP
7,,t10_9417278,,,kampe,1021 1026,ann2,T8,MTP
8,ann1,t10_9417278,T13,MTP,lige,1103 1107,ann2,T1,MTP
9,ann1,t10_9417278,T23,MTP,modenhed,1784 1792,ann2,T19,MTP
10,ann1,t10_9417278,T26,MTP,peger,1700 1705,ann2,T16,MTP
11,ann1,t10_9417278,T17,MTP,placerer,1349 1357,ann2,T14,MTP
12,,t10_9417278,,,position,1216 1224,ann2,T12,MTP
13,ann1,t10_9417278,T27,MTP,pres,1735 1739,ann2,T17,MTP
14,ann1,t10_9417278,T14,MTP,rette,1210 1215,,,
15,ann1,t10_9417278,T19,MTP,slog,1490 1494,,,
16,,t10_9417278,,,spektakulær,1823 1834,ann2,T20,MTP
17,ann1,t10_9417278,T10,MTP,tilpasse,1090 1098,ann2,T10,MTP
18,ann1,t10_9417278,T18,MTP,tæller,1434 1440,ann2,T15,MTP
19,ann1,t11_9453941,T12,MTP,Idéen,1038 1043,ann2,T16,MTP
20,ann1,t11_9453941,T15,MTP,Stor,0 4,ann2,T1,MTP
21,,t11_9453941,,,bedrive,1224 1231,ann2,T22,WIDLII
22,ann1,t11_9453941,T4,MTP,bud,349 352,ann2,T5,MTP
23,,t11_9453941,,,fået,1114 1118,ann2,T20,MTP
24,ann1,t11_9453941,T13,MTP,fået,1205 1209,ann2,T2,MTP
25,ann1,t11_9453941,T2,MTP,gang,449 453,ann2,T7,MTP
26,ann1,t11_9453941,T3,MTP,kaldes,731 737,ann2,T12,MTP
27,ann1,t11_9453941,T17,MTP,kommer,826 832,ann2,T13,MTP
28,,t11_9453941,,,legene,469 475,ann2,T8,WIDLII
29,ann1,t11_9453941,T6,MTP,legeplads,546 555,ann2,T9,MTP
30,ann1,t11_9453941,T7,MTP,lyder,573 578,ann2,T10,MTP
