annotator	filename	mark	label	offset	span
ann2	t7_9048164	T1	MTP	rolle	23 28
ann2	t7_9048164	T2	MTP	kanalen	142 149
ann2	t7_9048164	T3	MTP	ramt	137 141
ann2	t7_9048164	T4	MTP	skærmen	189 196
ann2	t7_9048164	T5	MTP	rolle	291 296
ann2	t7_9048164	T6	MTP	tilbage	343 350
ann2	t7_9048164	T7	MTP	stop	269 273
ann2	t7_9048164	T8	MTP	bølge	373 378
ann2	t7_9048164	T9	MTP	sager	122 127
ann2	t7_9048164	T10	MTP	sager	382 387
ann2	t7_9048164	T11	MTP	ramt	422 426
ann2	t7_9048164	T12	MTP	holdt	509 514
ann2	t7_9048164	T13	MTP	tale	533 537
ann2	t7_9048164	T14	MTP	gang	633 637
ann2	t7_9048164	T15	MTP	tale	653 657
ann2	t7_9048164	T16	MTP	satte	208 213
ann2	t7_9048164	T17	MTP	tvivlsom	402 410
ann2	t7_9048164	T18	MTP	skarp	723 728
ann2	t7_9048164	T19	MTP	forbindelse	660 671
ann2	t7_9048164	T20	MTP	største	680 687
ann2	t7_9048164	T21	MTP	rettede	712 719
ann2	t7_9048164	T22	MTP	ledelse	754 761
ann2	t7_9048164	T23	MTP	skærmen	839 846
ann2	t7_9048164	T24	MTP	fortsat	848 855
ann2	t7_9048164	T25	MTP	rolle	867 872
ann2	t7_9048164	T26	MTP	vært	993 997
ann2	t7_9048164	T27	MTP	rolle	983 988
ann2	t7_9048164	T28	MTP	stor	1014 1018
ann2	t7_9048164	T29	MTP	stormen	1026 1033
ann2	t7_9048164	T31	MTP	ramt	1038 1042
ann2	t7_9048164	T32	MTP	vært	1089 1093
ann2	t7_9048164	T30	MTP	sager	1166 1171
ann2	t7_9048164	T33	MTP	underholdningsprogrammer	1124 1148
ann2	t7_9048164	T34	MTP	rolle	1222 1227
ann2	t7_9048164	T35	MTP	vært	1232 1236
ann2	t7_9048164	T36	MTP	håndterer	1321 1330
ann2	t7_9048164	T37	MTP	sag	1334 1337
ann2	t7_9048164	T38	MTP	arbejdsplads	1361 1373
ann2	t7_9048164	T39	MTP	format	1460 1466
ann2	t7_9048164	T40	MTP	viser	1438 1443
ann2	t7_9048164	T41	MTP	ser	1582 1585
ann2	t7_9048164	T42	MTP	håndterer	1669 1678
ann2	t7_9048164	T43	MTP	kanal	1729 1734
ann2	t7_9048164	T44	MTP	skubbe	1757 1763
ann2	t7_9048164	T45	MTP	plads	1802 1807
ann2	t7_9048164	T46	MTP	giver	1796 1801
ann2	t7_9048164	T48	MTP	tingene	1679 1686
ann2	t7_9048164	T47	MTP	tale	1857 1861
ann2	t7_9048164	T49	MTP	talen	1937 1942
ann2	t7_9048164	T52	MTP	håndtering	2017 2027
ann2	t12_9488036	T1	MTP	selskabet	58 67
ann2	t12_9488036	T2	MTP	klar	179 183
ann2	t12_9488036	T5	MTP	givet	388 393
ann2	t12_9488036	T6	MTP	give	507 511
ann2	t12_9488036	T8	MTP	klar	653 657
ann2	t12_9488036	T9	MTP	vurderer	707 715
ann2	t12_9488036	T14	MTP	klar	1393 1397
ann2	t12_9488036	T15	MTP	oplyst	1757 1763
ann2	t12_9488036	T3	MTP	tage	746 750
ann2	t11_9453941	T1	MTP	Stor	0 4
ann2	t11_9453941	T3	MTP	udpeget	140 147
ann2	t11_9453941	T4	WIDLII	vært	152 156
ann2	t11_9453941	T5	MTP	bud	349 352
ann2	t11_9453941	T7	MTP	gang	449 453
ann2	t11_9453941	T8	WIDLII	legene	469 475
ann2	t11_9453941	T9	MTP	legeplads	546 555
ann2	t11_9453941	T10	MTP	lyder	573 578
ann2	t11_9453941	T11	MTP	strække	648 655
ann2	t11_9453941	T12	MTP	kaldes	731 737
ann2	t11_9453941	T13	MTP	kommer	826 832
ann2	t11_9453941	T14	MTP	planen	871 877
ann2	t11_9453941	T15	MTP	stå	878 881
ann2	t11_9453941	T16	MTP	Idéen	1038 1043
ann2	t11_9453941	T20	MTP	fået	1114 1118
ann2	t11_9453941	T21	MTP	planer	1144 1150
ann2	t11_9453941	T22	WIDLII	bedrive	1224 1231
ann2	t11_9453941	T23	MTP	løb	1299 1302
ann2	t11_9453941	T17	MTP	svarende	994 1002
ann2	t11_9453941	T18	MTP	til	1003 1006
ann2	t11_9453941	T2	MTP	fået	1205 1209
ann2	t8_9273904	T1	MTP	vilde	168 173
ann2	t8_9273904	T2	MTP	løb	197 200
ann2	t8_9273904	T3	MTP	rund	233 237
ann2	t8_9273904	T4	MTP	gang	315 319
ann2	t8_9273904	T5	MTP	tilbage	358 365
ann2	t8_9273904	T6	MTP	farverige	507 516
ann2	t8_9273904	T7	MTP	stor	587 591
ann2	t8_9273904	T8	MTP	spiller	576 583
ann2	t8_9273904	T9	MTP	en	584 586
ann2	t8_9273904	T10	MTP	rolle	592 597
ann2	t8_9273904	T11	MTP	kommer	607 613
ann2	t8_9273904	T12	MTP	til	614 617
ann2	t8_9273904	T13	MTP	skabe	621 626
ann2	t8_9273904	T14	MTP	rigtige	636 643
ann2	t8_9273904	T15	HPB	rigtige	636 643
ann2	t8_9273904	T16	MTP	i	744 745
ann2	t8_9273904	T17	MTP	dag	746 749
ann2	t8_9273904	T18	MTP	tilbage	788 795
ann2	t8_9273904	T19	MTP	gamle	806 811
ann2	t8_9273904	T20	MTP	fandt	849 854
ann2	t8_9273904	T21	MTP	store	1093 1098
ann2	t8_9273904	T22	MTP	højere	1368 1374
ann2	t8_9273904	T23	MTP	mulighed	1601 1609
ann2	t8_9273904	T24	MTP	gælder	1693 1699
ann2	t8_9273904	T25	MTP	hjælper	1753 1760
ann2	t8_9273904	T26	MTP	farver	1952 1958
ann2	t8_9273904	T27	MTP	fest	1962 1966
ann2	t8_9273904	T28	MTP	dreje	2118 2123
ann2	t8_9273904	T29	MTP	nøglen	2124 2130
ann2	t8_9273904	T30	MTP	om	2131 2133
ann2	t8_9273904	T31	MTP	støtte	2233 2239
ann2	t8_9273904	T32	MTP	en	2468 2470
ann2	t8_9273904	T33	MTP	stopper	2471 2478
ann2	t8_9273904	T34	MTP	for	2479 2482
ann2	t8_9273904	T35	HPB	al	2483 2485
ann2	t9_9299101	T1	MTP	drømmer	57 64
ann2	t9_9299101	T2	MTP	feltet	123 129
ann2	t9_9299101	T3	MTP	rammer	136 142
ann2	t9_9299101	T4	MTP	drømmen	177 184
ann2	t9_9299101	T5	MTP	knæk	193 197
ann2	t9_9299101	T6	MTP	lidt	185 189
ann2	t9_9299101	T7	MTP	bud	222 225
ann2	t9_9299101	T8	MTP	rammer	294 300
ann2	t9_9299101	T9	MTP	venter	324 330
ann2	t9_9299101	T10	MTP	guf	419 422
ann2	t9_9299101	T11	MTP	ren	415 418
ann2	t9_9299101	T12	WIDLII	rytter	430 436
ann2	t9_9299101	T13	MTP	sætter	489 495
ann2	t9_9299101	T14	MTP	alle	496 500
ann2	t9_9299101	T15	MTP	sejl	501 505
ann2	t9_9299101	T16	MTP	ind	506 509
ann2	t9_9299101	T17	MTP	brølstærke	567 577
ann2	t9_9299101	T19	MTP	udgå	684 688
ann2	t9_9299101	T20	MTP	drøm	746 750
ann2	t9_9299101	T21	MTP	lidt	751 755
ann2	t9_9299101	T22	MTP	knæk	759 763
ann2	t9_9299101	T23	MTP	sige	850 854
ann2	t9_9299101	T24	MTP	kommer	1117 1123
ann2	t9_9299101	T25	MTP	til	1124 1127
ann2	t9_9299101	T26	MTP	køre	1131 1135
ann2	t9_9299101	T27	MTP	sige	1417 1421
ann2	t9_9299101	T28	MTP	farvel	1422 1428
ann2	t9_9299101	T29	MTP	til	1429 1432
ann2	t9_9299101	T30	MTP	tog	1579 1582
ann2	t9_9299101	T31	MTP	sig	1583 1586
ann2	t9_9299101	T32	MTP	af	1587 1589
ann2	t9_9299101	T33	MTP	kommer	1625 1631
ann2	t9_9299101	T34	MTP	mig	1632 1635
ann2	t9_9299101	T35	WIDLII	udtalte	1645 1652
ann2	t9_9299101	T36	MTP	har	1699 1702
ann2	t9_9299101	T37	MTP	til	1733 1736
ann2	t9_9299101	T38	MTP	gode	1737 1741
ann2	t9_9299101	T40	MTP	på	1890 1892
ann2	t9_9299101	T41	MTP	spring	1893 1899
ann2	t9_9299101	T42	MTP	bud	1942 1945
ann2	t9_9299101	T43	MTP	rytter	430 436
ann2	t9_9299101	T18	HPB	samtidig	1079 1087
ann2	t9_9299101	T44	MTP	måtte	1411 1416
ann2	t10_9417278	T3	MTP	angrebsstjerne	142 156
ann2	t10_9417278	T4	WIDLII	hjemme	299 305
ann2	t10_9417278	T6	MTP	betyder	396 403
ann2	t10_9417278	T8	MTP	kampe	1021 1026
ann2	t10_9417278	T9	MTP	kamp	1123 1127
ann2	t10_9417278	T10	MTP	tilpasse	1090 1098
ann2	t10_9417278	T12	MTP	position	1216 1224
ann2	t10_9417278	T13	WIDLII	banen	1321 1326
ann2	t10_9417278	T14	MTP	placerer	1349 1357
ann2	t10_9417278	T15	MTP	tæller	1434 1440
ann2	t10_9417278	T16	MTP	peger	1700 1705
ann2	t10_9417278	T17	MTP	pres	1735 1739
