annotator	filename	mark	label	offset	span
sample3	9213363	T1	MTP	grænseoverskridende	41 60
sample3	9213363	T3	MTP	omløb	423 428
sample3	9213363	T4	MTP	lille	474 479
sample3	9213363	T5	HPB	så	626 628
sample3	9213363	T6	HPB	snart	629 634
sample3	9213363	T7	MTP	grænseoverskridende	738 757
sample3	9213363	T8	MTP	får	1156 1159
sample3	9213363	T9	MTP	omfanget	1193 1201
sample3	9213363	T10	MTP	større	1220 1226
sample3	9213363	T11	MTP	langt	1214 1219
sample3	9213363	T13	MTP	langt	1609 1614
sample3	9213363	T2	MTP	let	688 691
sample3	9213363	T12	MTP	urolig	1352 1358
sample3	9259262	T1	MTP	lyder	293 298
sample3	9259262	T2	MTP	fremstillet	365 376
sample3	9259262	T3	MTP	holdt	493 498
sample3	9259262	T4	MTP	undervejs	765 774
sample3	9259262	T5	MTP	lyder	801 806
sample3	9259262	T6	MTP	hårdt	930 935
sample3	9259262	T7	MTP	lyder	1191 1196
sample3	9259262	T8	MTP	so	1078 1080
sample3	9259262	T9	MTP	kom	1340 1343
sample3	9259262	T10	MTP	med	1344 1347
sample3	9259262	T11	HPB	ingen	1373 1378
sample3	9259262	T12	MTP	grænser	1379 1386
sample3	9160659	T1	MTP	ansigt	67 73
sample3	9160659	T2	MTP	viser	51 56
sample3	9160659	T3	MTP	viser	192 197
sample3	9160659	T4	MTP	sig	198 201
sample3	9160659	T5	MTP	scener	374 380
sample3	9160659	T6	MTP	kæmpede	557 564
sample3	9160659	T7	MTP	går	986 989
sample3	9160659	T8	MTP	presset	1047 1054
sample3	9160659	T9	MTP	gange	1095 1100
sample3	9160659	T10	MTP	ført	1406 1410
sample3	9160659	T11	MTP	hårdest	1492 1499
sample3	9160659	T12	MTP	ramte	1500 1505
sample3	9160659	T13	MTP	står	1516 1520
sample3	9160659	T14	MTP	kort	1643 1647
sample3	9160659	T15	MTP	adgang	1526 1532
sample3	9160659	T16	MTP	korridor	1607 1615
sample3	9160659	T17	MTP	korridor	1781 1789
sample3	9071496	T1	MTP	kommet	254 260
sample3	9071496	T2	MTP	lejren	286 292
sample3	9071496	T3	MTP	går	450 453
sample3	9071496	T4	MTP	træde	486 491
sample3	9071496	T5	MTP	ind	492 495
sample3	9071496	T6	MTP	stor	564 568
sample3	9071496	T7	MTP	lejr	640 644
sample3	9071496	T8	MTP	kamp	737 741
sample3	9071496	T9	MTP	kamp	871 875
sample3	9071496	T10	MTP	kampene	1208 1215
sample3	9071496	T11	MTP	mandskab	820 828
sample3	9267285	T1	MTP	ryster	249 255
sample3	9267285	T2	MTP	området	349 356
sample3	9267285	T3	MTP	afgang	505 511
sample3	9267285	T4	MTP	træde	555 560
sample3	9267285	T5	MTP	tilbage	561 568
sample3	9267285	T7	HPB	bestemteste	750 761
sample3	9267285	T8	MTP	hovedpine	1039 1048
sample3	9267285	T9	MTP	set	1141 1144
sample3	9267285	T10	MTP	afhoppet	1237 1245
sample3	9267285	T11	MTP	fløj	1267 1271
sample3	9267285	T12	MTP	kommer	1301 1307
sample3	9267285	T13	MTP	række	1399 1404
sample3	9267285	T14	MTP	opstillede	1411 1421
sample3	9394252	T1	MTP	stor	25 29
sample3	9394252	T2	MTP	løb	54 57
sample3	9394252	T3	MTP	over	62 66
sample3	9394252	T4	MTP	ende	67 71
sample3	9394252	T5	MTP	tætte	174 179
sample3	9394252	T6	MTP	åbnede	264 270
sample3	9394252	T7	MTP	kampen	649 655
sample3	9394252	T8	MTP	følge	643 648
sample3	9394252	T9	MTP	kampklar	695 703
sample3	9394252	T10	MTP	fuld	836 840
sample3	9394252	T11	HPB	fuld	836 840
sample3	9394252	T12	MTP	ramt	860 864
sample3	9394252	T13	MTP	kamp	940 944
sample3	9394252	T14	MTP	var	919 922
sample3	9394252	T15	MTP	vidne	927 932
sample3	9394252	T16	MTP	til	933 936
sample3	9394252	T17	MTP	opskruet	950 958
sample3	9394252	T18	MTP	høj	975 978
sample3	9394252	T19	MTP	kampen	1033 1039
sample3	9394252	T20	HPB	bedste	1012 1018
sample3	9394252	T21	MTP	gange	1053 1058
sample3	9394252	T22	MTP	foran	1059 1064
sample3	9394252	T23	MTP	fat	1105 1108
