annotator	filename	mark	label	offset	span
Samuel_sample1	9464064	T1	MTP	sad	262 265
Samuel_sample1	9464064	T2	MTP	i spidsen	2013 2022
Samuel_sample1	9464064	T3	MTP	stået	2007 2012
Samuel_sample1	9464064	T4	MTP	brænde	2584 2590
Samuel_sample1	9464064	T5	MTP	på	2591 2593
Samuel_sample1	9464064	T6	MTP	blomstrer	2477 2486
Samuel_sample1	9464064	T7	MTP	render	2705 2711
Samuel_sample1	9464064	T8	MTP	rundt	2712 2717
Samuel_sample1	9464064	T9	MTP	i	2718 2719
Samuel_sample1	9464064	T10	MTP	cirkler	2720 2727
Samuel_sample1	9464064	T11	HPB	råber	2731 2736
Samuel_sample1	9464064	T12	HPB	skriger	2740 2747
Samuel_sample1	9464064	T13	MTP	råber	2731 2736
Samuel_sample1	9464064	T14	MTP	skriger	2740 2747
Samuel_sample1	9464064	T15	MTP	sendt	3617 3622
Samuel_sample1	9464064	T16	MTP	i	3623 3624
Samuel_sample1	9464064	T17	MTP	byen	3625 3629
Samuel_sample1	9108286	T1	MTP	stod bag	83 91
Samuel_sample1	9108286	T2	HPB	altid	2603 2608
Samuel_sample1	9108286	T3	MTP	gået	2691 2695
Samuel_sample1	9108286	T4	MTP	række	1966 1971
Samuel_sample1	9108286	T5	MTP	åndede	707 713
Samuel_sample1	9108286	T6	MTP	ud	718 720
Samuel_sample1	9108286	T7	MTP	forbandede	2280 2290
Samuel_sample1	9108286	T8	MTP	betragter	2633 2642
Samuel_sample1	9451422	T1	MTP	ser	55 58
Samuel_sample1	9451422	T2	MTP	ud	82 84
Samuel_sample1	9451422	T3	MTP	stå bag	1284 1291
Samuel_sample1	9451422	T4	MTP	blankt	1322 1328
Samuel_sample1	9451422	T5	MTP	side	1751 1755
Samuel_sample1	9275683	T1	MTP	Optur	0 5
Samuel_sample1	9275683	T2	MTP	spring	159 165
Samuel_sample1	9275683	T3	HPB	ingen	194 199
Samuel_sample1	9275683	T4	MTP	indrettet	409 418
Samuel_sample1	9275683	T5	MTP	mærkes	708 714
Samuel_sample1	9275683	T6	MTP	spring	2626 2632
Samuel_sample1	9275683	T7	MTP	stjerneskuds	1591 1603
Samuel_sample1	9275683	T8	MTP	tikker	1566 1572
Samuel_sample1	9275683	T9	MTP	nå	1031 1033
Samuel_sample1	9275683	T10	MTP	spået	1204 1209
Samuel_sample1	9275683	T11	MTP	rykke	2418 2423
Samuel_sample1	9275683	T12	MTP	frem	2435 2439
Samuel_sample1	9275683	T13	MTP	spring	2640 2646
Samuel_sample1	9275683	T14	MTP	komet	1679 1684
Samuel_sample1	9275683	T15	MTP	spring	2856 2862
Samuel_sample1	9275683	T16	MTP	lå	2820 2822
Samuel_sample1	9275683	T17	MTP	stormet	2708 2715
Samuel_sample1	9275683	T18	MTP	Stormer	1998 2005
Samuel_sample1	9275683	T19	MTP	hård	2993 2997
Samuel_sample1	9275683	T20	MTP	Rygraden	3379 3387
Samuel_sample1	9275683	T21	MTP	flået	3395 3400
Samuel_sample1	9275683	T22	HPB	flået	3395 3400
Samuel_sample1	9275683	T23	MTP	på	3434 3436
Samuel_sample1	9275683	T24	MTP	banen	3437 3442
Samuel_sample1	9275683	T25	MTP	centrale	3472 3480
Samuel_sample1	9152929	T1	MTP	peger	704 709
Samuel_sample1	9152929	T2	MTP	i front for	992 1003
Samuel_sample1	9304214	T1	MTP	mareridt	170 178
