annotator	filename	mark	label	offset	span
Stephanie	9488036	T1	MTP	selskabet	58 67
Stephanie	9488036	T2	MTP	klar	179 183
Stephanie	9488036	T3	MTP	skriver	254 261
Stephanie	9488036	T4	MTP	selskab	324 331
Stephanie	9488036	T5	MTP	givet	388 393
Stephanie	9488036	T6	MTP	give	507 511
Stephanie	9488036	T7	MTP	selskabet	579 588
Stephanie	9488036	T8	MTP	klar	653 657
Stephanie	9488036	T9	MTP	vurderer	707 715
Stephanie	9488036	T10	MTP	arbejdet	733 741
Stephanie	9488036	T12	MTP	selskabets	1231 1241
Stephanie	9488036	T13	MTP	tid	1276 1279
Stephanie	9488036	T14	MTP	klar	1393 1397
Stephanie	9488036	T15	MTP	oplyst	1757 1763
Stephanie	9394252	T1	MTP	stor	25 29
Stephanie	9394252	T2	MTP	løb	54 57
Stephanie	9394252	T3	MTP	over	62 66
Stephanie	9394252	T4	MTP	ende	67 71
Stephanie	9394252	T5	MTP	tætte	174 179
Stephanie	9394252	T6	MTP	åbnede	264 270
Stephanie	9394252	T7	MTP	kampen	649 655
Stephanie	9394252	T8	MTP	følge	643 648
Stephanie	9394252	T9	MTP	kampklar	695 703
Stephanie	9394252	T10	MTP	fuld	836 840
Stephanie	9394252	T11	HPB	fuld	836 840
Stephanie	9394252	T12	MTP	ramt	860 864
Stephanie	9394252	T13	MTP	kamp	940 944
Stephanie	9394252	T14	MTP	var	919 922
Stephanie	9394252	T15	MTP	vidne	927 932
Stephanie	9394252	T16	MTP	til	933 936
Stephanie	9394252	T17	MTP	opskruet	950 958
Stephanie	9394252	T18	MTP	høj	975 978
Stephanie	9394252	T19	MTP	kampen	1033 1039
Stephanie	9394252	T20	HPB	bedste	1012 1018
Stephanie	9394252	T21	MTP	gange	1053 1058
Stephanie	9394252	T22	MTP	foran	1059 1064
Stephanie	9394252	T23	MTP	fat	1105 1108
Stephanie	9394252	T24	MTP	kampen	1112 1118
Stephanie	9394252	T25	MTP	trupper	1212 1219
Stephanie	9394252	T26	MTP	profiler	1250 1258
Stephanie	9394252	T27	MTP	skred	1293 1298
Stephanie	9394252	T28	MTP	frem	1299 1303
Stephanie	9394252	T29	MTP	større	1332 1338
Stephanie	9394252	T30	MTP	hårdt	1356 1361
Stephanie	9394252	T31	MTP	slide	1350 1355
Stephanie	9394252	T32	HPB	eneste	1372 1378
Stephanie	9394252	T33	MTP	gennembruds	1513 1524
Stephanie	9394252	T34	MTP	vokset	1728 1734
Stephanie	9394252	T35	MTP	kampen	1768 1774
Stephanie	9394252	T36	MTP	spænding	1791 1799
Stephanie	9394252	T37	MTP	klart	237 242
Stephanie	9394252	T38	MTP	midten	706 712
Stephanie	9394252	T39	HPB	hvert	1366 1371
Stephanie	9417278	T2	MTP	mål	101 104
Stephanie	9417278	T3	MTP	stjerne	149 156
Stephanie	9417278	T5	MTP	målene	370 376
Stephanie	9417278	T6	MTP	betyder	396 403
Stephanie	9417278	T7	MTP	mål	999 1002
Stephanie	9417278	T8	MTP	kampe	1021 1026
Stephanie	9417278	T9	MTP	kamp	1123 1127
Stephanie	9417278	T10	MTP	tilpasse	1090 1098
Stephanie	9417278	T11	MTP	målene	1164 1170
Stephanie	9417278	T12	MTP	position	1216 1224
Stephanie	9417278	T14	MTP	placerer	1349 1357
Stephanie	9417278	T15	MTP	tæller	1434 1440
Stephanie	9417278	T16	MTP	peger	1700 1705
Stephanie	9417278	T17	MTP	pres	1735 1739
Stephanie	9417278	T18	MTP	angrebet	1755 1763
Stephanie	9417278	T19	MTP	modenhed	1784 1792
Stephanie	9417278	T20	MTP	spektakulær	1823 1834
Stephanie	9267285	T1	MTP	ryster	249 255
Stephanie	9267285	T2	MTP	området	349 356
Stephanie	9267285	T3	MTP	afgang	505 511
Stephanie	9267285	T4	MTP	træde	555 560
Stephanie	9267285	T5	MTP	tilbage	561 568
Stephanie	9267285	T7	HPB	bestemteste	750 761
Stephanie	9267285	T8	MTP	hovedpine	1039 1048
Stephanie	9267285	T9	MTP	set	1141 1144
Stephanie	9267285	T10	MTP	afhoppet	1237 1245
Stephanie	9267285	T11	MTP	fløj	1267 1271
Stephanie	9267285	T12	MTP	kommer	1301 1307
Stephanie	9267285	T13	MTP	række	1399 1404
Stephanie	9267285	T14	MTP	opstillede	1411 1421
Stephanie	9160659	T1	MTP	ansigt	67 73
Stephanie	9160659	T2	MTP	viser	51 56
Stephanie	9160659	T3	MTP	viser	192 197
Stephanie	9160659	T4	MTP	sig	198 201
Stephanie	9160659	T5	MTP	scener	374 380
Stephanie	9160659	T6	MTP	kæmpede	557 564
Stephanie	9160659	T7	MTP	går	986 989
Stephanie	9160659	T8	MTP	presset	1047 1054
Stephanie	9160659	T9	MTP	gange	1095 1100
Stephanie	9160659	T10	MTP	ført	1406 1410
Stephanie	9160659	T11	MTP	hårdest	1492 1499
Stephanie	9160659	T12	MTP	ramte	1500 1505
Stephanie	9160659	T13	MTP	står	1516 1520
Stephanie	9160659	T14	MTP	kort	1643 1647
