annotator	filename	mark	label	offset	span
Stephanie_sample1	9464064	T1	MTP	kigge	163 168
Stephanie_sample1	9464064	T2	MTP	stillingen	232 242
Stephanie_sample1	9464064	T3	MTP	sad	262 265
Stephanie_sample1	9464064	T4	MTP	står	786 790
Stephanie_sample1	9464064	T5	MTP	for	791 794
Stephanie_sample1	9464064	T6	MTP	stillinger	1039 1049
Stephanie_sample1	9464064	T7	MTP	rolle	1681 1686
Stephanie_sample1	9464064	T8	MTP	overbringe	1785 1795
Stephanie_sample1	9464064	T9	MTP	spidsen	2015 2022
Stephanie_sample1	9464064	T10	MTP	i	2013 2014
Stephanie_sample1	9464064	T11	MTP	følgeskab	2337 2346
Stephanie_sample1	9464064	T12	MTP	blomstrer	2477 2486
Stephanie_sample1	9464064	T13	MTP	brænde	2584 2590
Stephanie_sample1	9464064	T14	MTP	på	2591 2593
Stephanie_sample1	9464064	T16	MTP	cirkler	2720 2727
Stephanie_sample1	9464064	T17	MTP	i	2718 2719
Stephanie_sample1	9464064	T18	MTP	rollen	2992 2998
Stephanie_sample1	9464064	T19	MTP	rollen	3047 3053
Stephanie_sample1	9464064	T21	MTP	tage	4042 4046
Stephanie_sample1	9464064	T22	MTP	kort	4192 4196
Stephanie_sample1	9464064	T23	MTP	holdbart	4282 4290
Stephanie_sample1	9464064	T24	MTP	droppede	4201 4209
Stephanie_sample1	9464064	T25	MTP	finde	4582 4587
Stephanie_sample1	9464064	T26	MTP	fandt	4718 4723
Stephanie_sample1	9464064	T27	MTP	scorede	4751 4758
Stephanie_sample1	9464064	T28	MTP	besat	5161 5166
Stephanie_sample1	9464064	T29	MTP	rollen	5388 5394
Stephanie_sample1	9464064	T30	MTP	forlod	5659 5665
Stephanie_sample1	9464064	T31	MTP	stilling	5764 5772
Stephanie_sample1	9108286	T1	HPB	en	576 578
Stephanie_sample1	9108286	T2	HPB	uge	579 582
Stephanie_sample1	9108286	T3	MTP	se	647 649
Stephanie_sample1	9108286	T4	MTP	åndede	707 713
Stephanie_sample1	9108286	T5	MTP	ud	718 720
Stephanie_sample1	9108286	T6	MTP	kort	1645 1649
Stephanie_sample1	9108286	T7	HPB	et	2474 2476
Stephanie_sample1	9108286	T8	HPB	mesterværk	2477 2487
Stephanie_sample1	9108286	T9	MTP	tæller	1151 1157
Stephanie_sample1	9451422	T1	MTP	oplyser	259 266
Stephanie_sample1	9451422	T4	MTP	blankt	1322 1328
Stephanie_sample1	9451422	T5	MTP	oplyst	2077 2083
Stephanie_sample1	9451422	T6	MTP	oplyste	2263 2270
Stephanie_sample1	9275683	T1	MTP	Optur	0 5
Stephanie_sample1	9275683	T2	MTP	sikret	115 121
Stephanie_sample1	9275683	T3	MTP	spring	159 165
Stephanie_sample1	9275683	T4	MTP	indrettet	409 418
Stephanie_sample1	9275683	T5	MTP	mærkes	708 714
Stephanie_sample1	9275683	T6	MTP	sikret	791 797
Stephanie_sample1	9275683	T7	MTP	stige	904 909
Stephanie_sample1	9275683	T8	MTP	nå	1031 1033
Stephanie_sample1	9275683	T10	MTP	spået	1204 1209
Stephanie_sample1	9275683	T11	MTP	når	1293 1296
Stephanie_sample1	9275683	T12	MTP	korte	1376 1381
Stephanie_sample1	9275683	T13	MTP	nøk	1507 1510
Stephanie_sample1	9275683	T14	MTP	stjerneskuds	1591 1603
Stephanie_sample1	9275683	T15	MTP	tikker	1566 1572
Stephanie_sample1	9275683	T16	MTP	sikrer	1810 1816
Stephanie_sample1	9275683	T17	MTP	Stormer	1998 2005
Stephanie_sample1	9275683	T18	MTP	afgivet	2372 2379
Stephanie_sample1	9275683	T19	HPB	Stormer	1998 2005
Stephanie_sample1	9275683	T20	MTP	spring	2626 2632
Stephanie_sample1	9275683	T21	MTP	spring	2640 2646
Stephanie_sample1	9275683	T22	MTP	stormet	2708 2715
Stephanie_sample1	9275683	T23	HPB	stormet	2708 2715
Stephanie_sample1	9275683	T24	MTP	spring	2856 2862
Stephanie_sample1	9275683	T25	MTP	møder	3033 3038
Stephanie_sample1	9275683	T26	MTP	Opgøret	3106 3113
Stephanie_sample1	9275683	T27	MTP	følge	3192 3197
Stephanie_sample1	9152929	T1	MTP	finder	9 15
Stephanie_sample1	9152929	T2	MTP	fundet	609 615
Stephanie_sample1	9152929	T3	MTP	frem	616 620
Stephanie_sample1	9152929	T4	MTP	til	621 624
Stephanie_sample1	9152929	T5	MTP	peger	704 709
Stephanie_sample1	9152929	T6	MTP	på	720 722
Stephanie_sample1	9152929	T7	MTP	front	994 999
Stephanie_sample1	9152929	T8	MTP	i	992 993
Stephanie_sample1	9152929	T9	MTP	udgangspunktet	1134 1148
Stephanie_sample1	9152929	T10	MTP	markant	1586 1593
Stephanie_sample1	9152929	T11	MTP	peger	1836 1841
Stephanie_sample1	9152929	T12	MTP	retning	1855 1862
Stephanie_sample1	9152929	T13	MTP	i	1842 1843
Stephanie_sample1	9152929	T14	MTP	se	2385 2387
Stephanie_sample1	9304214	T1	HPB	mareridt	170 178
Stephanie_sample1	9304214	T2	MTP	fremstilles	856 867
Stephanie_sample1	9304214	T3	MTP	oplyser	983 990
Stephanie_sample1	9304214	T4	MTP	begære	1029 1035
Stephanie_sample1	9304214	T5	MTP	kølvandet	557 566
Stephanie_sample1	9304214	T6	MTP	på	567 569
Stephanie_sample1	9304214	T7	MTP	i	555 556
