annotator_x	filename	label	offset	span	annotator_y
Samuel	9059684	MTP	mindre	1527 1533	
	9059684	HPB	hele	2330 2334	Stephanie
	9059684	MTP	giver	2436 2441	Stephanie
Samuel	9059684	MTP	siger	2467 2472	
	9059684	MTP	konkret	2542 2549	Stephanie
	9059684	MTP	viser	2550 2555	Stephanie
Samuel	9059684	MTP	derover	2681 2688	
	9059684	MTP	ser	2734 2737	Stephanie
Samuel	9059684	MTP	derover	2978 2985	
	9059684	MTP	har	3210 3213	Stephanie
	9059684	MTP	ser	596 599	Stephanie
	9071496	MTP	kampene	1208 1215	Stephanie
	9071496	MTP	kamp	737 741	Stephanie
	9071496	MTP	mandskab	820 828	Stephanie
	9071496	MTP	kamp	871 875	Stephanie
	9160659	MTP	gange	1095 1100	Stephanie
	9160659	MTP	står	1516 1520	Stephanie
	9160659	MTP	adgang	1526 1532	Stephanie
Samuel	9160659	MTP	åbnet	1616 1621	
Samuel	9160659	MTP	lukket	1636 1642	
	9160659	MTP	kort	1643 1647	Stephanie
Samuel	9160659	MTP	korridoren	1683 1693	
Samuel	9160659	MTP	slippe	1719 1725	
	9160659	MTP	viser	192 197	Stephanie
	9160659	MTP	sig	198 201	Stephanie
Samuel	9160659	WIDLII	udspillede	347 357	
Samuel	9160659	WIDLII	sig	381 384	
Samuel	9213363	MTP	profiler	1025 1033	
Samuel	9213363	MTP	profiler	1146 1154	
	9213363	MTP	langt	1214 1219	Stephanie
	9213363	MTP	urolig	1352 1358	Stephanie
Samuel	9213363	WIDLII	opslaget	1433 1441	
Samuel	9213363	MTP	profiler	1474 1482	
Samuel	9213363	MTP	følgere	1548 1555	
Samuel	9213363	MTP	profilen	1560 1568	
Samuel	9213363	MTP	følgere	1733 1740	
Samuel	9213363	MTP	profilerne	1788 1798	
Samuel	9213363	MTP	følgere	281 288	
Samuel	9213363	MTP	følgere	357 364	
Samuel	9213363	MTP	profiler	397 405	
Samuel	9213363	HPB	tvunget	444 451	
	9213363	MTP	lille	474 479	Stephanie
Samuel	9213363	MTP	profiler	506 514	
Samuel	9213363	MTP	profil	6 12	
	9213363	HPB	så	626 628	Stephanie
	9213363	HPB	snart	629 634	Stephanie
	9213363	MTP	let	688 691	Stephanie
Samuel	9213363	MTP	profil	768 774	
Samuel	9213363	MTP	profiler	98 106	
	9259262	MTP	so	1078 1080	Stephanie
	9259262	MTP	lyder	1191 1196	Stephanie
Samuel	9259262	MTP	optaget	1291 1298	
	9259262	MTP	kom	1340 1343	Stephanie
	9259262	MTP	med	1344 1347	Stephanie
	9259262	HPB	ingen	1373 1378	Stephanie
	9259262	MTP	fremstillet	365 376	Stephanie
	9267285	MTP	opstillede	1411 1421	Stephanie
Samuel	9267285	MTP	trække	1455 1461	
Samuel	9267285	MTP	sig	1462 1465	
Samuel	9267285	MTP	taburetterne	208 220	
	9267285	MTP	området	349 356	Stephanie
	9267285	MTP	afgang	505 511	Stephanie
Samuel	9299101	HPB	samtidig	1079 1087	
	9299101	MTP	kommer	1117 1123	Stephanie
	9299101	MTP	til	1124 1127	Stephanie
	9299101	MTP	køre	1131 1135	Stephanie
Samuel	9299101	MTP	fået	1246 1250	
Samuel	9299101	MTP	måtte	1411 1416	
	9299101	WIDLII	udtalte	1645 1652	Stephanie
	9299101	MTP	blev	1747 1751	Stephanie
	9299101	MTP	lidt	185 189	Stephanie
Samuel	9299101	MTP	ryttere	1877 1884	
Samuel	9299101	MTP	rytter	430 436	
	9299101	WIDLII	rytter	430 436	Stephanie
	9299101	MTP	brøl	567 571	Stephanie
Samuel	9299101	MTP	brølstærke	567 577	
Samuel	9299101	MTP	rytter	589 595	
	9299101	MTP	involveret	596 606	Stephanie
	9299101	MTP	lidt	751 755	Stephanie
	9299101	MTP	sige	850 854	Stephanie
	9394252	HPB	bedste	1012 1018	Stephanie
	9394252	MTP	kampen	1033 1039	Stephanie
	9394252	MTP	kampen	1112 1118	Stephanie
	9394252	MTP	trupper	1212 1219	Stephanie
	9394252	MTP	skred	1293 1298	Stephanie
	9394252	MTP	frem	1299 1303	Stephanie
	9394252	MTP	slide	1350 1355	Stephanie
	9394252	HPB	hvert	1366 1371	Stephanie
	9394252	HPB	eneste	1372 1378	Stephanie
Samuel	9394252	MTP	gennembrud	1513 1523	
	9394252	MTP	gennembruds	1513 1524	Stephanie
	9394252	MTP	kampen	1768 1774	Stephanie
Samuel	9394252	HPB	var	1775 1778	
Samuel	9394252	HPB	blottet	1779 1786	
Samuel	9394252	HPB	for	1787 1790	
	9394252	MTP	spænding	1791 1799	Stephanie
	9394252	MTP	kampen	649 655	Stephanie
	9394252	MTP	kampklar	695 703	Stephanie
	9394252	MTP	midten	706 712	Stephanie
Samuel	9394252	MTP	tage	759 763	
	9394252	MTP	kamp	940 944	Stephanie
Samuel	9417278	MTP	lige	1103 1107	
	9417278	MTP	kamp	1123 1127	Stephanie
Samuel	9417278	HPB	altid	1155 1160	
Samuel	9417278	MTP	rette	1210 1215	
	9417278	MTP	position	1216 1224	Stephanie
Samuel	9417278	WIDLII	position	1216 1224	
Samuel	9417278	MTP	banen	1321 1326	
	9417278	WIDLII	banen	1321 1326	Stephanie
Samuel	9417278	MTP	slog	1490 1494	
Samuel	9417278	MTP	angriber	1590 1598	
Samuel	9417278	MTP	total	1778 1783	
Samuel	9417278	MTP	fuldstændig	1811 1822	
	9417278	MTP	spektakulær	1823 1834	Stephanie
	9417278	WIDLII	spektakulær	28 39	Stephanie
Samuel	9417278	MTP	hjemme	299 305	
	9417278	WIDLII	hjemme	299 305	Stephanie
Samuel	9417278	WIDLII	helt	472 476	
Samuel	9417278	WIDLII	har	871 874	
Samuel	9453941	MTP	til	1003 1006	
	9453941	MTP	fungere	1061 1068	Stephanie
	9453941	MTP	energi	1095 1101	Stephanie
	9453941	MTP	fået	1114 1118	Stephanie
	9453941	MTP	opmærksomhed	1119 1131	Stephanie
	9453941	MTP	planer	1144 1150	Stephanie
Samuel	9453941	MTP	bedrive	1224 1231	
	9453941	WIDLII	bedrive	1224 1231	Stephanie
Samuel	9453941	WIDLII	foregå	202 208	
Samuel	9453941	WIDLII	opførelse	256 265	
	9453941	MTP	møde	412 416	Stephanie
	9453941	MTP	gang	449 453	Stephanie
Samuel	9453941	MTP	legene	469 475	
	9453941	WIDLII	legene	469 475	Stephanie
	9453941	MTP	begivenhed	5 15	Stephanie
	9453941	MTP	kaldes	731 737	Stephanie
	9453941	MTP	planen	871 877	Stephanie
Samuel	9453941	MTP	svarende	994 1002	
	9488036	MTP	tid	1276 1279	Stephanie
Samuel	9488036	MTP	flåde	1293 1298	
	9488036	MTP	skriver	254 261	Stephanie
	9488036	MTP	selskab	324 331	Stephanie
	9488036	MTP	selskabet	579 588	Stephanie
	9488036	MTP	arbejdet	733 741	Stephanie
Samuel	9488036	MTP	tage	746 750	
Samuel	9488036	MTP	flåde	989 994	
